TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557648616.25717,0.467424,0.339899,-0.315701,1.0321,1,0.526307,1.55121,-17.3804,18.5499,1,0.201454,-0.413008,-0.881698,1.2778,1,0.322798,-0.231886,-0.439441,0.163803,1,0.266131,0.498531,0.447215,0.621004,1,0.428475,7.54549,2.4944,14.0277,1,0.486512,3,4,4,4,3
1557648626.35156,0.501295,0.361611,-0.28818,1.00539,1,0.505275,0.561093,-16.7583,17.8582,1,0.245953,-0.330568,-0.923475,1.25459,1,0.349377,-0.215902,-0.432983,0.148935,1,0.364004,0.517225,0.449596,0.61635,1,0.468278,8.2819,2.72007,13.7854,1,0.458255,4,4,4,4,4
1557648636.46216,0.537024,0.359022,-0.264241,0.982975,1,0.504632,0.611421,-16.3098,17.2186,1,0.234341,-0.370382,-0.950863,1.2241,1,0.338602,-0.218417,-0.427417,0.13595,1,0.328757,0.506138,0.451574,0.613634,1,0.49114,8.03107,2.92866,13.6886,1,0.461997,4,4,4,4,4
1557648646.54842,0.435442,0.25798,-0.242911,0.962415,1,0.505503,0.702464,-15.8883,16.6347,1,0.343671,-0.0841646,-0.957123,1.18585,1,0.386679,-0.189301,-0.420157,0.123651,1,0.328796,0.50748,0.453753,0.610981,1,0.432472,8.01141,3.11086,13.5333,1,0.452062,4,4,3,4,4
1557648656.63525,0.397284,0.284463,-0.24303,0.944717,1,0.516037,0.554104,-15.4396,16.1029,1,0.282694,-0.398694,-0.946624,1.15395,1,0.366972,-0.21597,-0.413322,0.114346,1,0.296685,0.506744,0.454948,0.60794,1,0.383862,6.46747,3.26085,13.4369,1,0.455402,3,4,4,4,4
1557648666.72200,0.58513,0.423095,-0.22755,0.930501,1,0.499419,0.278959,-15.0964,15.6303,1,0.218824,-0.427391,-0.963069,1.12749,1,0.313824,-0.234246,-0.409086,0.104913,1,0.325492,0.509395,0.45668,0.605005,1,0.130221,4.26042,3.08835,13.3785,1,0.383851,4,4,4,4,4
1557648676.76121,0.442122,0.366422,-0.214621,0.918452,1,0.512117,0.496106,-14.7665,15.195,1,0.293869,-0.322215,-0.970328,1.09874,1,0.334111,-0.227991,-0.405894,0.0967243,1,0.266234,0.503002,0.458,0.602092,1,0.185495,5.22183,2.81057,13.368,1,0.30279,4,4,4,4,4
1557648686.84797,0.509533,0.288085,-0.204676,0.911445,1,0.516181,0.635396,-14.4485,14.7924,1,0.278867,-0.267974,-0.974119,1.07017,1,0.354829,-0.203663,-0.403393,0.0898618,1,0.344092,0.509545,0.459184,0.599598,1,0.249239,5.52113,2.78223,13.2159,1,0.270161,4,4,3,4,4
1557648696.94497,0.562512,0.453499,-0.194208,0.901486,1,0.517402,0.447754,-14.1153,14.4113,1,0.395137,-0.187817,-0.960193,1.04349,1,0.376437,-0.2154,-0.39815,0.0821476,1,0.274806,0.498896,0.46038,0.597606,1,0.351981,6.76389,2.80551,13.0556,1,0.26082,4,4,4,4,4
1557648707.05267,0.533615,0.370809,-0.183462,0.894644,1,0.506419,0.23922,-13.8503,14.069,1,0.228132,-0.439614,-0.968434,1.02702,1,0.332664,-0.228297,-0.395036,0.0757414,1,0.303015,0.506806,0.460779,0.595602,1,0.185155,4.90131,2.80076,12.9248,1,0.255716,3,4,4,4,4
1557648717.13928,0.394199,0.266256,-0.176799,0.885372,1,0.509594,0.332219,-13.6118,13.7526,1,0.308365,-0.268681,-0.970713,1.00276,1,0.330041,-0.215448,-0.393845,0.0708686,1,0.324951,0.508089,0.461945,0.5938,1,0.45858,7.4829,2.78864,12.8488,1,0.277441,4,4,4,4,4
1557648727.22597,0.58647,0.406791,-0.168379,0.877299,1,0.513082,0.402262,-13.3704,13.4536,1,0.257233,-0.421934,-0.9684,0.977558,1,0.363563,-0.214139,-0.390175,0.0647455,1,0.35752,0.522691,0.463108,0.592117,1,0.2142,4.96799,2.82878,12.745,1,0.306233,4,3,4,4,4
